Unnamed: 0,Department,Travel Start Date,Travel End Date,Origin,Destination,Route,In Policy,Booking Method,Segment Count,Employee ID,Mileage,Carbon Emission,Ticket Expense,nonuk
3,0,2022-07-12,2022-07-12,Banbury,London Marylebone,Banbury - London Marylebone,Yes,Online,1,20298.0,120.86,4.96729,45.3,False
7,0,2020-08-09,2020-08-09,Bearsted,London Blackfriars,Bearsted - London Blackfriars,Yes,Online,2,14792.0,124.65,5.12296,40.9,False
8,0,2020-07-09,2020-07-09,Bearsted,London Blackfriars,Bearsted - London Blackfriars,Yes,Online,2,14792.0,124.65,5.12296,40.9,False
9,0,2020-09-09,2020-09-09,Bearsted,London Blackfriars,Bearsted - London Blackfriars,Yes,Online,2,14792.0,124.65,5.12296,40.9,False
10,0,2020-09-16,2020-09-16,Bearsted,London Blackfriars,Bearsted - London Blackfriars,Yes,Online,2,14792.0,121.21,4.98171,40.9,False
11,0,2020-11-09,2020-11-09,Bearsted,London Blackfriars,Bearsted - London Blackfriars,Yes,Online,2,14792.0,121.21,4.98171,40.9,False
12,0,2021-10-21,2021-10-21,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,127.3,5.23203,42.0,False
13,0,2021-10-28,2021-10-28,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,1,14792.0,63.11,2.59375,25.3,False
14,0,2021-02-12,2021-03-12,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,127.3,5.23203,42.0,False
15,0,2022-03-16,2022-03-16,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,127.3,5.23203,43.6,False
16,0,2023-06-29,2023-06-29,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,127.3,5.23203,46.2,False
17,0,2021-08-12,2021-08-12,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,1,14792.0,63.11,2.59375,20.7,False
18,0,2023-04-05,2023-04-05,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,127.3,5.23203,46.2,False
19,0,2021-12-08,2021-12-08,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,127.3,5.23203,42.0,False
20,0,2022-12-20,2022-12-20,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,127.3,5.23203,43.6,False
21,0,2022-09-09,2022-09-09,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,127.3,5.23203,43.6,False
22,0,2022-07-20,2022-07-20,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,127.3,5.23203,43.6,False
23,0,2021-10-18,2021-10-18,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,1,14792.0,63.11,2.59375,28.3,False
24,0,2023-06-21,2023-06-21,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,127.3,5.23203,46.2,False
30,0,2021-12-11,2021-12-11,Blackburn,Middlesbrough,Blackburn - Middlesbrough,Yes,Online,3,20367.0,460.35,18.92023,111.8,False
31,0,2020-10-02,2020-10-02,Bolton,Manchester Piccadilly,Bolton - Manchester Piccadilly,Yes,Online,1,29160.0,24.51,1.00716,4.6,False
