,Point of Sale Country,Company Name,Department,Travel Start Date,Travel End Date,Origin,Destination,Route,In Policy,Booking Method,Segment Count,Employee ID,Unit of Measurement,Currency,Mileage,Carbon Emission,Ticket Expense,Mileage Per ticket,Ticket Expense Per ticket,Carbon Emission Per ticket,Day of Week
3,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-07-12,2022-07-12,Banbury,London Marylebone,Banbury - London Marylebone,Yes,Online,1,20298.0,Kg|Km,GBP,120.86,4.96729,45.3,120.86,45.3,4.96729,Tuesday
6,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-12-05,2022-05-13,Bathgate,Bathgate,Bathgate - Bathgate,Yes,Online,3,15429.0,Kg|Km,GBP,1019.02,41.88173,107.1,339.67333333333335,35.699999999999996,13.960576666666666,Monday
7,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-08-09,2020-08-09,Bearsted,London Blackfriars,Bearsted - London Blackfriars,Yes,Online,2,14792.0,Kg|Km,GBP,124.65,5.12296,40.9,62.325,20.45,2.56148,Sunday
8,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-07-09,2020-07-09,Bearsted,London Blackfriars,Bearsted - London Blackfriars,Yes,Online,2,14792.0,Kg|Km,GBP,124.65,5.12296,40.9,62.325,20.45,2.56148,Thursday
9,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-09-09,2020-09-09,Bearsted,London Blackfriars,Bearsted - London Blackfriars,Yes,Online,2,14792.0,Kg|Km,GBP,124.65,5.12296,40.9,62.325,20.45,2.56148,Wednesday
10,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-09-16,2020-09-16,Bearsted,London Blackfriars,Bearsted - London Blackfriars,Yes,Online,2,14792.0,Kg|Km,GBP,121.21,4.98171,40.9,60.605,20.45,2.490855,Wednesday
11,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2020-11-09,2020-11-09,Bearsted,London Blackfriars,Bearsted - London Blackfriars,Yes,Online,2,14792.0,Kg|Km,GBP,121.21,4.98171,40.9,60.605,20.45,2.490855,Monday
12,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-10-21,2021-10-21,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,Kg|Km,GBP,127.3,5.23203,42.0,63.65,21.0,2.616015,Thursday
13,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-10-28,2021-10-28,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,1,14792.0,Kg|Km,GBP,63.11,2.59375,25.3,63.11,25.3,2.59375,Thursday
14,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2021-02-12,2021-03-12,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,Kg|Km,GBP,127.3,5.23203,42.0,63.65,21.0,2.616015,Friday
15,United Kingdom,Bouygues Energies & Services Contracting UK,Bouygues E+S Contracting UK,2022-03-16,2022-03-16,Bearsted,London Victoria,Bearsted - London Victoria,Yes,Online,2,14792.0,Kg|Km,GBP,127.3,5.23203,43.6,63.65,21.8,2.616015,Wednesday
