Travel Start Date,Travel End Date,Origin City,Destination City,Segment Count,Distance,CO2 Emission,Air Expense,Mode
2022-05-24,2022-05-24,Frankfurt,Paris,1,570.24,3.42144,169.09,Train
2023-11-14,2023-11-14,Frankfurt,Paris,1,241.4,1.44841,96.5,Train
2023-11-14,2023-11-14,Frankfurt,Paris,1,241.4,1.44841,96.5,Train
2020-01-22,2020-01-22,Paris,London,1,449.75,2.69848,260.0,Train
2022-05-25,2022-05-25,Paris,London,1,449.75,2.69848,263.0,Train
2022-01-07,2022-01-07,Paris,London,1,449.75,2.69848,266.0,Train
2023-02-02,2023-02-02,Paris,London,1,449.75,2.69848,273.3,Train
2020-01-22,2020-01-22,Paris,London,1,449.75,2.69848,260.0,Train
2023-11-16,2023-11-16,Paris,London,1,449.75,2.69848,289.2,Train
2020-01-28,2020-01-28,Paris,London,1,449.75,2.69848,74.0,Train
2023-11-16,2023-11-16,Paris,London,1,449.75,2.69848,135.2,Train
2023-03-17,2023-03-17,Paris,London,1,449.75,2.69848,295.3,Train
2022-09-16,2022-09-16,Paris,London,1,449.75,2.69848,269.0,Train
2023-07-20,2023-07-20,Paris,London,1,449.75,2.69848,284.1,Train
2020-03-24,2020-03-25,Glasgow,London,4,2581.67,106.10669,151.1,Train
2021-11-16,2021-11-17,Glasgow,London,2,1290.84,53.05335,155.0,Train
2020-12-11,2020-11-13,London,London,3,955.59,39.27482,337.0,Train
2020-02-17,2020-02-17,London,London,3,949.0,39.00387,230.8,Train
2020-07-10,2020-07-10,London,London,3,955.59,39.27482,184.5,Train
2023-04-26,2023-04-26,London,London,3,526.27,21.62983,82.0,Train
2023-04-26,2023-04-26,London,London,3,526.27,21.62983,82.0,Train
2021-05-08,2021-05-08,London,London,6,1615.93,66.4146,126.4,Train
2023-11-19,2023-11-21,London,London,3,955.59,39.27482,74.0,Train
2022-03-29,2022-03-29,London,London,3,52.35,2.15167,19.6,Train
2022-10-03,2022-10-03,London,London,3,274.55,11.28413,35.5,Train
2020-03-16,2020-03-16,London,London,2,38.36,1.57672,19.1,Train
2022-09-28,2022-09-30,London,London,3,659.45,27.10325,253.0,Train
2023-07-31,2023-02-08,London,London,3,118.42,4.86689,40.4,Train
2022-03-02,2022-03-02,London,Paris,2,910.87,5.46522,436.0,Train
2022-10-18,2022-10-20,London,Paris,2,910.87,5.46522,436.0,Train
2022-10-18,2022-10-20,London,Paris,2,910.87,5.46522,436.0,Train
2022-04-01,2022-05-01,London,Paris,2,910.87,5.46522,436.0,Train
2020-05-03,2020-05-03,London,Paris,2,910.87,5.46522,426.0,Train
2020-01-28,2020-01-28,London,Paris,1,461.12,18.95217,103.0,Train
2021-10-12,2021-10-12,London,Paris,2,910.87,5.46522,436.0,Train
2020-01-20,2020-01-22,London,Paris,2,910.87,5.46522,259.0,Train
2020-01-20,2020-01-23,London,Paris,2,910.87,5.46522,426.0,Train
2023-02-24,2023-02-24,London,Paris,2,910.87,5.46522,488.0,Train
2023-01-02,2023-02-02,London,Paris,2,910.87,5.46522,436.0,Train
2022-03-11,2022-04-11,London,Paris,2,910.87,5.46522,436.0,Train
2022-10-03,2022-11-03,London,Paris,2,910.87,5.46522,436.0,Train
2023-01-02,2023-02-02,London,Paris,2,910.87,5.46522,369.0,Train
2021-05-10,2021-05-10,London,Paris,1,461.12,18.95217,200.0,Train
2020-01-28,2020-01-28,London,Paris,2,877.2,5.26323,244.0,Train
2023-01-17,2023-01-17,London,Paris,1,461.12,18.95217,245.0,Train
2022-11-24,2022-11-24,London,Paris,2,922.25,37.90434,230.0,Train
2023-09-05,2023-12-05,London,Paris,2,910.87,5.46522,488.0,Train
2021-11-10,2021-10-15,London,Paris,2,910.87,5.46522,449.0,Train
2020-10-02,2020-10-02,Manchester,London,1,318.47,13.08892,183.0,Train
2020-03-03,2020-03-03,Manchester,London,4,1274.25,52.37181,259.0,Train
2020-01-28,2020-01-28,Manchester,London,2,637.13,26.1859,198.05,Train
2023-07-13,2023-07-13,Manchester,London,1,318.47,13.08892,43.0,Train
2022-05-25,2022-05-25,Manchester,London,1,318.47,13.08892,161.9,Train
2020-02-18,2020-02-18,Manchester,London,2,637.13,26.1859,245.0,Train
2020-05-03,2020-05-03,Manchester,London,1,318.47,13.08892,91.1,Train
2020-05-03,2020-05-03,Manchester,London,1,318.47,13.08892,91.1,Train
2023-10-01,2023-10-01,Manchester,London,2,636.93,26.17784,68.6,Train
2022-10-17,2022-10-17,Manchester,London,1,318.47,13.08892,184.7,Train
2022-02-03,2022-02-03,Manchester,London,2,637.13,26.1859,369.4,Train
2023-09-10,2023-09-10,Manchester,London,1,318.47,13.08892,47.0,Train
2020-01-15,2020-01-15,Manchester,London,2,637.13,26.1859,174.05,Train
2022-12-07,2022-12-07,Manchester,London,2,637.13,26.1859,369.4,Train
2022-04-10,2022-04-10,Manchester,London,2,637.13,26.1859,98.1,Train
2023-10-01,2023-10-01,Manchester,London,2,636.93,26.17784,68.6,Train
2020-06-02,2020-06-02,Manchester,London,2,637.13,26.1859,245.0,Train
2023-01-17,2023-01-17,Paris,Frankfurt,1,569.34,3.41604,79.72,Train
2022-07-21,2022-07-21,London,Paris,1,461.12,2.76674,600.0,Train
2020-01-30,2020-01-30,London,London,2,50.73,2.08483,19.1,Train
2020-02-26,2020-02-26,London,London,2,50.73,2.08483,19.0,Train
4/13/20,4/13/20,London,Frankfurt,1,654.15,159.81,170.54,Air
2023-09-05 00:00:00,2023-11-05 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,476.97,Air
2023-12-10 00:00:00,2023-12-10 00:00:00,Frankfurt,London,1,620.88,169.24,183.7,Air
10/16/23,10/16/23,London,Frankfurt,1,620.88,169.24,249.12,Air
2023-04-09 00:00:00,2023-04-09 00:00:00,London,Frankfurt,1,620.88,169.24,249.12,Air
2023-10-07 00:00:00,2023-10-07 00:00:00,London,Frankfurt,1,620.88,169.24,249.12,Air
8/21/23,8/21/23,London,Frankfurt,1,620.88,169.24,219.12,Air
9/25/23,9/25/23,London,Frankfurt,1,620.88,169.24,249.12,Air
8/29/23,8/29/23,London,Frankfurt,1,620.88,169.24,188.12,Air
8/14/23,8/14/23,London,Frankfurt,1,620.88,169.24,219.12,Air
9/13/23,9/13/23,Frankfurt,London,1,620.88,169.24,120.0,Air
2023-01-09 00:00:00,2023-01-09 00:00:00,Frankfurt,London,1,620.88,169.24,211.8,Air
10/27/23,10/27/23,Frankfurt,London,1,620.88,169.24,215.8,Air
2023-07-08 00:00:00,2023-07-08 00:00:00,London,Frankfurt,1,620.88,169.24,219.12,Air
2023-05-07 00:00:00,2023-05-07 00:00:00,London,Frankfurt,1,620.88,169.24,188.12,Air
2023-04-10 00:00:00,2023-04-10 00:00:00,Frankfurt,London,1,620.88,169.24,120.5,Air
7/24/23,7/24/23,London,Frankfurt,1,620.88,169.24,219.12,Air
9/18/23,9/18/23,London,Frankfurt,1,620.88,169.24,249.12,Air
10/24/23,10/24/23,London,Frankfurt,1,620.88,169.24,188.12,Air
10/19/23,10/19/23,Frankfurt,London,1,620.88,169.24,151.4,Air
8/25/23,8/25/23,Frankfurt,London,1,620.88,169.24,240.8,Air
7/18/23,7/18/23,Frankfurt,London,1,620.88,169.24,149.8,Air
2023-07-07 00:00:00,2023-07-07 00:00:00,Frankfurt,London,1,620.88,169.24,242.1,Air
9/22/23,9/22/23,Frankfurt,London,1,620.88,169.24,242.1,Air
2023-02-08 00:00:00,2023-02-08 00:00:00,Frankfurt,London,1,620.88,169.24,120.5,Air
2023-11-08 00:00:00,2023-11-08 00:00:00,Frankfurt,London,1,620.88,169.24,213.2,Air
8/18/23,8/18/23,Frankfurt,London,1,620.88,169.24,214.4,Air
1/19/20,1/22/20,Manchester,Paris,2,1182.04,288.77,212.54,Air
2/17/20,2/17/20,Manchester,Paris,1,591.02,144.39,153.54,Air
9/13/23,9/15/23,Manchester,Paris,2,1182.04,322.2,165.28,Air
2023-10-05 00:00:00,2023-12-05 00:00:00,Manchester,Paris,2,1182.04,322.2,197.25,Air
2022-03-07 00:00:00,2022-03-07 00:00:00,Manchester,Paris,1,591.02,145.31,219.3,Air
8/22/22,8/25/22,Manchester,Frankfurt,2,1665.56,314.41,983.8,Air
12/13/23,12/15/23,Glasgow,London,2,1109.97,302.56,395.03,Air
2023-10-05 00:00:00,2023-11-05 00:00:00,Manchester,Frankfurt,3,1674.06,381.61,558.77,Air
2023-10-07 00:00:00,2023-11-07 00:00:00,Manchester,Frankfurt,2,1665.56,304.58,520.77,Air
10/22/23,10/26/23,Manchester,Frankfurt,2,1665.56,304.58,696.07,Air
8/13/23,8/15/23,Manchester,Frankfurt,2,1665.56,304.58,445.77,Air
11/21/22,11/23/22,London,Frankfurt,2,1308.3,321.67,211.87,Air
11/21/23,11/23/23,Manchester,Frankfurt,2,1665.56,304.58,439.78,Air
